City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,swakopmund,-22.6833,14.5333,12.21,82,0,1.34,NA,1694815955
322,fort mcmurray,56.7268,-111.381,24.46,25,11,4.12,CA,1694815919
323,mulayjah,27.271,48.4242,31.65,18,4,4.66,SA,1694815956
324,swift current,50.2834,-107.8014,21.65,18,0,1.32,CA,1694815956
325,ghansor,22.65,79.95,22.58,97,100,6.0,IN,1694815957
326,acapulco de juarez,16.8634,-99.8901,29.9,70,75,4.12,MX,1694815957
327,holualoa,19.6228,-155.9522,28.21,74,40,4.63,US,1694815958
328,gargalianoi,37.0667,21.6333,22.97,72,100,3.49,GR,1694815958
329,brookings,44.3114,-96.7984,24.19,44,0,5.66,US,1694815887
330,ancud,-41.8697,-73.8203,8.82,78,79,6.48,CL,1694815959
331,brak,27.5496,14.2714,25.63,16,0,5.17,LY,1694815959
332,kuragino,53.8975,92.6725,9.25,91,99,0.38,RU,1694815959
333,ad dilam,23.9915,47.1627,30.22,22,6,2.56,SA,1694815960
334,tuyen quang,21.8233,105.2181,23.91,88,99,0.94,VN,1694815960
335,mo i rana,66.3128,14.1428,7.96,92,100,1.34,NO,1694815960
336,tan-tan,28.438,-11.1032,21.2,85,17,3.56,MA,1694815961
337,zouerate,22.7187,-12.4521,31.8,26,0,6.35,MR,1694815961
338,buta,2.7858,24.73,21.06,98,70,1.07,CD,1694815962
339,solnechnyy,50.7214,136.6319,9.96,51,0,1.49,RU,1694815962
340,labrador city,52.9463,-66.9114,13.65,63,45,2.1,CA,1694815962
341,conil de la frontera,36.2772,-6.0885,21.61,79,86,4.3,ES,1694815795
342,mahina,-17.5065,-149.489,27.87,65,75,3.09,PF,1694815963
343,ciudad lazaro cardenas,17.9583,-102.2,30.78,70,100,3.29,MX,1694815814
344,clinton,42.587,-82.9199,22.19,63,0,0.45,US,1694815964
345,acajutla,13.5928,-89.8275,29.82,71,99,2.28,SV,1694815964
346,road town,18.4167,-64.6167,30.05,74,20,2.06,VG,1694815894
347,noshiro,40.2039,140.0242,22.2,86,100,1.29,JP,1694815965
348,isla mujeres,21.2311,-86.731,31.03,73,98,4.33,MX,1694815965
349,tlahualilo de zaragoza,26.1167,-103.45,33.52,27,33,1.76,MX,1694815966
350,la foa,-21.7108,165.8276,21.37,77,65,3.27,NC,1694815966
351,gobabis,-22.45,18.9667,18.21,7,0,4.23,NA,1694815967
352,ocean shores,46.9737,-124.1563,23.86,78,0,4.63,US,1694815967
353,matadi,-5.8167,13.45,25.38,74,97,3.46,CD,1694815967
354,flying fish cove,-10.4217,105.6791,23.82,88,100,6.17,CX,1694815968
355,vadso,70.0744,29.7487,8.09,66,0,5.14,NO,1694815968
356,zahedan,29.4963,60.8629,18.9,28,6,0.19,IR,1694815969
357,arish,31.1316,33.7984,26.0,58,0,2.7,EG,1694815969
358,cabo san lucas,22.8909,-109.9124,36.45,62,0,4.12,MX,1694815970
359,aasiaat,68.7098,-52.8699,-0.16,74,1,4.26,GL,1694815970
